0	600	-210	799.902
0.1	600	-209.999	799.243
0.2	600	-209.985	797.524
0.3	600	-209.919	794.314
0.4	600	-209.711	789.248
0.5	600	-209.191	782.031
0.6	600	-208.092	772.442
0.7	600	-206.031	760.355
0.8	600	-202.506	745.764
0.9	600	-196.902	728.812
1	600	-188.523	709.836
1.1	600	-176.641	689.408
1.2	600	-160.567	668.359
1.3	600	-139.748	647.798
1.4	600	-113.878	629.092
1.5	600	-83.0096	613.802
1.6	600	-47.6603	603.578
1.7	600	-8.87242	600.003
1.8	600	31.7758	604.412
1.9	600	72.2341	617.688
2	600	110.125	640.094
2.1	600	142.955	671.141
2.2	600	168.383	709.56
2.3	600	184.486	753.36
2.4	600	190	800
2.5	600	184.486	846.64
2.6	600	168.383	890.44
2.7	600	142.955	928.859
2.8	600	110.125	959.906
2.9	600	72.2341	982.312
3	600	31.7758	995.588
3.1	600	-8.87242	999.997
3.2	600	-47.6603	996.422
3.3	600	-83.0096	986.198
3.4	600	-113.878	970.908
3.5	600	-139.748	952.202
3.6	600	-160.567	931.641
3.7	600	-176.641	910.592
3.8	600	-188.523	890.164
3.9	600	-196.902	871.188
4	600	-202.506	854.236
4.1	600	-206.031	839.645
4.2	600	-208.092	827.558
4.3	600	-209.191	817.969
4.4	600	-209.711	810.752
4.5	600	-209.919	805.686
4.6	600	-209.985	802.476
4.7	600	-209.999	800.757
4.8	600	-210	800.098
4.9	600	-210	800
5	600	-210	799.896
