0,600.054203,-209.903430,799.277067
0.100000,600.364369,-209.297042,795.028375
0.200000,600.953280,-207.821573,785.723403
0.300000,601.585859,-205.234915,771.536857
0.400000,601.924346,-201.426091,753.837433
0.500000,601.762753,-196.455569,734.661867
0.600000,601.180238,-190.551618,716.162614
0.700000,600.504908,-184.026335,700.052740
0.800000,600.090230,-177.129662,687.083871
0.900000,600.000000,-169.893569,676.565097
1.000000,599.884845,-162.057071,666.468636
1.100000,599.594855,-153.354606,655.816383
1.200000,599.101323,-143.718669,644.622294
1.300000,598.437124,-133.247445,633.377968
1.400000,597.729405,-122.153652,622.835488
1.500000,597.191835,-110.702282,613.799784
1.600000,597.068091,-99.143357,606.936858
1.700000,597.536224,-87.649838,602.597344
1.800000,598.600324,-76.269511,600.645373
1.900000,600.000000,-64.893569,600.278132
2.000000,601.299253,-53.215360,600.233488
2.100000,602.393180,-40.843212,600.195841
2.200000,603.240684,-27.661486,600.166625
2.300000,603.779011,-13.817603,600.148042
2.400000,603.957768,0.368303,600.141868
2.500000,603.761005,14.496223,600.148665
2.600000,603.213495,28.180530,600.167564
2.700000,602.370008,41.144043,600.196641
2.800000,601.289727,53.310352,600.233817
2.900000,600.000000,64.893569,600.278132
3.000000,598.599375,76.356210,600.668833
3.100000,597.567241,87.900098,602.744632
3.200000,597.178394,99.536095,607.317997
3.300000,597.404922,111.167163,614.467028
3.400000,598.027560,122.606447,623.747254
3.500000,598.765612,133.616291,634.394761
3.600000,599.388380,143.962633,645.538011
3.700000,599.779623,153.472994,656.428409
3.800000,599.948465,162.086888,666.687880
3.900000,600.000000,169.893569,676.565097
4.000000,600.053013,177.086773,686.900829
4.100000,600.108303,183.694768,698.019289
4.200000,600.138300,189.672921,709.910344
4.300000,600.126603,194.965972,722.448942
4.400000,600.074040,199.517996,735.434375
4.500000,599.999500,203.280858,748.631248
4.600000,599.934442,206.220180,761.811849
4.700000,599.910702,208.318259,774.799302
4.800000,599.941998,209.573941,787.510763
4.900000,600.000000,210.000000,800.000000
5.000000,600.028277,209.607933,812.484008
5.100000,600.056477,208.374741,825.189820
5.200000,600.100080,206.282445,838.179449
5.300000,600.145667,203.332937,851.371202
5.400000,600.172134,199.549166,864.584784
5.500000,600.165756,194.973406,877.586897
5.600000,600.127840,189.662055,890.136368
5.700000,600.074267,183.677076,902.027645
5.800000,600.027171,177.074835,913.131841
5.900000,600.000000,169.893569,923.434903
6.000000,599.968924,162.096327,933.274214
6.100000,599.833257,153.495833,943.548261
6.200000,599.485952,144.001725,954.515414
6.300000,598.896689,133.667394,965.764230
6.400000,598.162948,122.659957,976.501089
6.500000,597.512879,111.213367,985.822050
6.600000,597.241955,99.569455,992.953850
6.700000,597.591221,87.920091,997.461420
6.800000,598.602912,76.365137,999.439921
6.900000,600.000000,64.893569,999.721868
7.000000,601.289721,53.302628,999.668986
7.100000,602.369986,41.131968,999.624473
7.200000,603.213455,28.168697,999.589523
7.300000,603.760952,14.488720,999.566737
7.400000,603.957710,0.367538,999.558526
7.500000,603.778958,-13.811510,999.565976
7.600000,603.240644,-27.650730,999.588376
7.700000,602.393157,-40.831760,999.623497
7.800000,601.299246,-53.207832,999.668586
7.900000,600.000000,-64.893569,999.721868
8.000000,598.603638,-76.278581,999.461124
8.100000,597.558855,-87.670094,997.597486
8.200000,597.128530,-99.176861,993.309447
8.300000,597.295303,-110.748372,986.449425
8.400000,597.860312,-122.206906,977.364559
8.500000,598.565186,-133.298407,966.733677
8.600000,599.197870,-143.757872,955.393842
8.700000,599.648744,-153.377683,944.138491
8.800000,599.905643,-162.066642,933.486605
8.900000,600.000000,-169.893569,923.434903
9.000000,600.063815,-177.117548,912.952694
9.100000,600.462999,-184.005988,900.034200
9.200000,601.141104,-190.530641,883.988114
9.300000,601.737539,-196.439534,865.536489
9.400000,601.913615,-201.416505,846.365515
9.500000,601.583499,-205.230174,828.624178
9.600000,600.953074,-207.819369,814.371121
9.700000,600.363962,-209.296072,805.007204
9.800000,600.053992,-209.903218,800.728173
9.900000,600.000000,-210.000000,800.000000
10.000000,600.054203,-209.903430,799.277067
10.100000,600.364369,-209.297042,795.028375
10.200000,600.953280,-207.821573,785.723403
10.300000,601.585859,-205.234915,771.536857
10.400000,601.924346,-201.426091,753.837433
10.500000,601.762753,-196.455569,734.661867
10.600000,601.180238,-190.551618,716.162614
10.700000,600.504908,-184.026335,700.052740
10.800000,600.090230,-177.129662,687.083871
10.900000,600.000000,-169.893569,676.565097
11.000000,599.884845,-162.057071,666.468636
11.100000,599.594855,-153.354606,655.816383
11.200000,599.101323,-143.718669,644.622294
11.300000,598.437124,-133.247445,633.377968
11.400000,597.729405,-122.153652,622.835488
11.500000,597.191835,-110.702282,613.799784
11.600000,597.068091,-99.143357,606.936858
11.700000,597.536224,-87.649838,602.597344
11.800000,598.600324,-76.269511,600.645373
11.900000,600.000000,-64.893569,600.278132
12.000000,601.299253,-53.215360,600.233488
12.100000,602.393180,-40.843212,600.195841
12.200000,603.240684,-27.661486,600.166625
12.300000,603.779011,-13.817603,600.148042
12.400000,603.957768,0.368303,600.141868
12.500000,603.761005,14.496223,600.148665
12.600000,603.213495,28.180530,600.167564
12.700000,602.370008,41.144043,600.196641
12.800000,601.289727,53.310352,600.233817
12.900000,600.000000,64.893569,600.278132
13.000000,598.599375,76.356210,600.668833
13.100000,597.567241,87.900098,602.744632
13.200000,597.178394,99.536095,607.317997
13.300000,597.404922,111.167163,614.467028
13.400000,598.027560,122.606447,623.747254
13.500000,598.765612,133.616291,634.394761
