0,-0.377057,1.531598,0.000000,-1.277953,0.388322,1.335316,-1.665957
0.100000,-0.375868,1.541095,0.000000,-1.287626,0.387098,1.335346,-1.665632
0.200000,-0.373083,1.561883,0.000000,-1.308783,0.384230,1.335386,-1.664879
0.300000,-0.368454,1.593562,0.000000,-1.340997,0.379463,1.335394,-1.663638
0.400000,-0.361994,1.633107,0.000000,-1.381160,0.372815,1.335315,-1.661929
0.500000,-0.353896,1.676039,0.000000,-1.424686,0.364482,1.335091,-1.659815
0.600000,-0.344440,1.717608,0.000000,-1.466720,0.354756,1.334677,-1.657383
0.700000,-0.333906,1.753968,0.000000,-1.503340,0.343924,1.334050,-1.654716
0.800000,-0.322488,1.783358,0.000000,-1.532765,0.332186,1.333229,-1.651862
0.900000,-0.310205,1.807277,0.000000,-1.556558,0.319559,1.332282,-1.648816
1.000000,-0.296798,1.830341,0.000000,-1.579417,0.305775,1.331220,-1.645505
1.100000,-0.281853,1.854800,0.000000,-1.603461,0.290421,1.329738,-1.641875
1.200000,-0.265215,1.880655,0.000000,-1.628617,0.273340,1.327703,-1.637905
1.300000,-0.246986,1.906802,0.000000,-1.653822,0.254632,1.325221,-1.633599
1.400000,-0.227441,1.931496,0.000000,-1.677445,0.234575,1.322552,-1.628977
1.500000,-0.206953,1.952803,0.000000,-1.697705,0.213541,1.320028,-1.624075
1.600000,-0.185909,1.969061,0.000000,-1.713090,0.191916,1.317969,-1.618940
1.700000,-0.164630,1.979343,0.000000,-1.722783,0.170024,1.316601,-1.613628
1.800000,-0.143289,1.983909,0.000000,-1.727074,0.148043,1.315969,-1.608198
1.900000,-0.121834,1.984670,0.000000,-1.727788,0.125925,1.315861,-1.602710
2.000000,-0.099835,1.984670,0.000000,-1.727788,0.103235,1.315861,-1.597143
2.100000,-0.076577,1.984670,0.000000,-1.727788,0.079222,1.315861,-1.591234
2.200000,-0.051838,1.984670,0.000000,-1.727788,0.053650,1.315861,-1.584852
2.300000,-0.025887,1.984670,0.000000,-1.727788,0.026798,1.315861,-1.578045
2.400000,0.000690,1.984670,0.000000,-1.727788,-0.000714,1.315861,-1.570978
2.500000,0.027158,1.984670,0.000000,-1.727788,-0.028115,1.315861,-1.563883
2.600000,0.052811,1.984670,0.000000,-1.727788,-0.054658,1.315861,-1.556997
2.700000,0.077142,1.984670,0.000000,-1.727788,-0.079808,1.315861,-1.550508
2.800000,0.100014,1.984670,0.000000,-1.727788,-0.103420,1.315861,-1.544497
2.900000,0.121834,1.984670,0.000000,-1.727788,-0.125925,1.315861,-1.538882
3.000000,0.143450,1.983852,0.000000,-1.727015,-0.148209,1.315969,-1.533437
3.100000,0.165082,1.978982,0.000000,-1.722407,-0.170492,1.316601,-1.528084
3.200000,0.186591,1.968129,0.000000,-1.712118,-0.192621,1.317969,-1.522833
3.300000,0.207716,1.951180,0.000000,-1.696012,-0.214331,1.320028,-1.517719
3.400000,0.228131,1.929296,0.000000,-1.675149,-0.235290,1.322552,-1.512798
3.500000,0.247494,1.904369,0.000000,-1.651283,-0.255159,1.325221,-1.508128
3.600000,0.265507,1.878481,0.000000,-1.626349,-0.273642,1.327703,-1.503764
3.700000,0.281966,1.853358,0.000000,-1.601956,-0.290538,1.329738,-1.499748
3.800000,0.296816,1.829828,0.000000,-1.578881,-0.305794,1.331220,-1.496093
3.900000,0.310205,1.807277,0.000000,-1.556558,-0.319559,1.332282,-1.492777
4.000000,0.322437,1.783783,0.000000,-1.533208,-0.332133,1.333221,-1.489743
4.100000,0.333579,1.758655,0.000000,-1.508230,-0.343589,1.333995,-1.486954
4.200000,0.343595,1.731937,0.000000,-1.481669,-0.353890,1.334533,-1.484408
4.300000,0.352425,1.703891,0.000000,-1.453743,-0.362975,1.334842,-1.482124
4.400000,0.359998,1.674918,0.000000,-1.424780,-0.370770,1.334977,-1.480134
4.500000,0.366247,1.645480,0.000000,-1.395163,-0.377202,1.335020,-1.478474
4.600000,0.371112,1.616021,0.000000,-1.365265,-0.382210,1.335051,-1.477178
4.700000,0.374561,1.586884,0.000000,-1.335397,-0.385758,1.335124,-1.476268
4.800000,0.376591,1.558235,0.000000,-1.305743,-0.387845,1.335237,-1.475745
4.900000,0.377249,1.529981,0.000000,-1.276306,-0.388520,1.335310,-1.475583
5.000000,0.376591,1.501699,0.000000,-1.246773,-0.387859,1.335119,-1.475689
5.100000,0.374561,1.472874,0.000000,-1.216535,-0.385850,1.334304,-1.475887
5.200000,0.371112,1.443329,0.000000,-1.185322,-0.382473,1.332678,-1.476094
5.300000,0.366247,1.413198,0.000000,-1.153238,-0.377720,1.330244,-1.476339
5.400000,0.359998,1.382840,0.000000,-1.120658,-0.371600,1.327142,-1.476720
5.500000,0.352425,1.352739,0.000000,-1.088119,-0.364133,1.323591,-1.477376
5.600000,0.343595,1.323417,0.000000,-1.056214,-0.355348,1.319840,-1.478447
5.700000,0.333579,1.295338,0.000000,-1.025485,-0.345286,1.316111,-1.480040
5.800000,0.322437,1.268818,0.000000,-0.996316,-0.333993,1.312543,-1.482195
5.900000,0.310205,1.243931,0.000000,-0.968827,-0.321521,1.309140,-1.484847
6.000000,0.296816,1.219899,0.000000,-0.942125,-0.307840,1.305600,-1.487868
6.100000,0.281966,1.194468,0.000000,-0.913479,-0.292662,1.301249,-1.491286
6.200000,0.265507,1.166901,0.000000,-0.881976,-0.275835,1.295861,-1.495145
6.300000,0.247494,1.138148,0.000000,-0.848744,-0.257402,1.289700,-1.499454
6.400000,0.228131,1.110213,0.000000,-0.816194,-0.237556,1.283334,-1.504189
