0	0.810959	1.71587	0	-1.49229	-0.823536	1.41748	-1.40743
0.1	0.810456	1.71598	0	-1.49277	-0.822992	1.41764	-1.40777
0.2	0.809143	1.71627	0	-1.494	-0.821573	1.41807	-1.40868
0.3	0.806684	1.7168	0	-1.4963	-0.81892	1.41888	-1.41036
0.4	0.802785	1.71763	0	-1.49991	-0.814717	1.42016	-1.41299
0.5	0.797186	1.7188	0	-1.505	-0.808695	1.422	-1.4167
0.6	0.789658	1.72031	0	-1.51169	-0.800616	1.42445	-1.42158
0.7	0.779994	1.72218	0	-1.52004	-0.790279	1.42758	-1.42765
0.8	0.768006	1.72437	0	-1.53002	-0.777506	1.43143	-1.43489
0.9	0.753526	1.72685	0	-1.54154	-0.762148	1.43601	-1.44323
1	0.736401	1.72957	0	-1.55445	-0.744075	1.44136	-1.45252
1.1	0.716493	1.73246	0	-1.56856	-0.723181	1.44744	-1.46261
1.2	0.693685	1.73546	0	-1.58361	-0.699381	1.45422	-1.47326
1.3	0.667881	1.73849	0	-1.59929	-0.672613	1.46164	-1.48424
1.4	0.639015	1.7415	0	-1.61527	-0.642844	1.46957	-1.49526
1.5	0.60706	1.74442	0	-1.6312	-0.610072	1.47788	-1.50603
1.6	0.572032	1.74721	0	-1.64672	-0.574336	1.48634	-1.51627
1.7	0.534007	1.74985	0	-1.66144	-0.535723	1.49473	-1.52571
1.8	0.49313	1.75232	0	-1.67502	-0.494378	1.50272	-1.53415
1.9	0.44962	1.75462	0	-1.68709	-0.450513	1.50999	-1.54141
2	0.403779	1.75676	0	-1.69736	-0.404417	1.51618	-1.54743
2.1	0.355991	1.75877	0	-1.70556	-0.356454	1.52092	-1.55223
2.2	0.306716	1.76066	0	-1.71145	-0.307064	1.52389	-1.55593
2.3	0.256475	1.76243	0	-1.71488	-0.256753	1.5248	-1.55873
2.4	0.205834	1.76409	0	-1.71575	-0.206068	1.52348	-1.56091
2.5	0.155373	1.76561	0	-1.71403	-0.155577	1.51984	-1.56281
2.6	0.105664	1.76696	0	-1.70975	-0.105836	1.5139	-1.56476
2.7	0.0572411	1.7681	0	-1.70302	-0.0573623	1.50582	-1.56707
2.8	0.0105831	1.76898	0	-1.69401	-0.010613	1.49583	-1.57
2.9	-0.0339052	1.76955	0	-1.68294	0.0340327	1.48424	-1.57374
3	-0.0759	1.76977	0	-1.6701	0.0762771	1.47141	-1.57838
3.1	-0.11516	1.76961	0	-1.65579	0.115903	1.45774	-1.58393
3.2	-0.151521	1.76906	0	-1.64037	0.152765	1.44359	-1.59033
3.3	-0.18489	1.76813	0	-1.6242	0.186778	1.42933	-1.59743
3.4	-0.215235	1.76687	0	-1.60765	0.217906	1.41529	-1.60508
3.5	-0.242569	1.76531	0	-1.5911	0.246149	1.40173	-1.61305
3.6	-0.266948	1.76354	0	-1.57489	0.271537	1.38891	-1.62111
3.7	-0.288455	1.76162	0	-1.55937	0.29412	1.37701	-1.62906
3.8	-0.307198	1.75965	0	-1.54484	0.313963	1.36619	-1.63668
3.9	-0.3233	1.7577	0	-1.53154	0.331151	1.35654	-1.64377
4	-0.336901	1.75586	0	-1.5197	0.34578	1.34814	-1.65018
4.1	-0.348152	1.75418	0	-1.50944	0.357967	1.34102	-1.65579
4.2	-0.357217	1.75273	0	-1.50087	0.367846	1.33515	-1.66053
4.3	-0.364275	1.75152	0	-1.494	0.375578	1.33052	-1.66435
4.4	-0.369521	1.75059	0	-1.48877	0.381349	1.32702	-1.66728
4.5	-0.373174	1.74992	0	-1.48507	0.385379	1.32457	-1.66935
4.6	-0.375478	1.74948	0	-1.48271	0.387926	1.32302	-1.67068
4.7	-0.376708	1.74925	0	-1.48145	0.389288	1.32218	-1.67139
4.8	-0.377179	1.74916	0	-1.48096	0.38981	1.32186	-1.67167
4.9	-0.377249	1.74915	0	-1.48089	0.389888	1.32182	-1.67171
5	-0.377323	1.74913	0	-1.48081	0.38997	1.32177	-1.67175
